,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
43,Aoede,Jupiter,41.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Pasiphae),2.0,239,761.5
44,Thelxinoe,Jupiter,42.0,2003.0,2004.0,"Sheppard, Jewitt, Kleyna, Gladman, Kavelaars, Petit, Allen",Retrograde irregular (Ananke),1.0,211,628.09
45,Arche,Jupiter,43.0,2002.0,2002.0,"Sheppard, Meech, Hsieh, Tholen, Tonry",Retrograde irregular (Carme),1.5,233,731.95
46,Kallichore,Jupiter,44.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Carme),1.0,232,728.73
47,Helike,Jupiter,45.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Ananke),2.0,210,626.32
48,Carpo,Jupiter,46.0,2003.0,2003.0,"Sheppard, Gladman, Kavelaars, Petit, Allen, Jewitt, Kleyna",Prograde irregular (Carpo),1.5,170,456.3
49,Eukelade,Jupiter,47.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Carme),2.0,233,730.47
50,Cyllene,Jupiter,48.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),1.0,238,752.0
51,Kore,Jupiter,49.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),1.0,245,779.17
52,Herse,Jupiter,50.0,2003.0,2003.0,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen",Retrograde irregular (Carme),1.0,229,714.51
53,S/2010 J 1,Jupiter,51.0,2010.0,2011.0,"Jacobson, Brozović, Gladman, Alexandersen",Retrograde irregular (Carme),1.0,233,723.2
54,S/2010 J 2,Jupiter,52.0,2010.0,2011.0,Veillet,Retrograde irregular (Ananke),0.5,203,588.1
55,Dia,Jupiter,53.0,2000.0,2001.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Prograde irregular (Himalia),2.0,121,287.0
56,S/2016 J 1,Jupiter,54.0,2016.0,2017.0,Sheppard,Retrograde irregular (Ananke),1.0,205,602.7
57,S/2003 J 18,Jupiter,55.0,2003.0,2003.0,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen",Retrograde irregular (Ananke),1.0,202,588.0
58,S/2011 J 2,Jupiter,56.0,2011.0,2012.0,Sheppard,Retrograde irregular (Pasiphae),0.5,233,726.8
59,Eirene,Jupiter,57.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Carme),2.0,237,759.7
60,Philophrosyne,Jupiter,58.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Pasiphae),1.0,228,701.3
61,S/2017 J 1,Jupiter,59.0,2017.0,2017.0,Sheppard,Retrograde irregular (Pasiphae),2.0,234,734.2
62,Eupheme,Jupiter,60.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Ananke),1.0,211,627.8
63,S/2003 J 19,Jupiter,61.0,2003.0,2003.0,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen",Retrograde irregular (Carme),1.0,227,697.6
64,Valetudo,Jupiter,62.0,2016.0,2018.0,Sheppard,Prograde irregular (Valetudo),0.5,189,532.0
65,S/2017 J 2,Jupiter,63.0,2017.0,2018.0,Sheppard,Retrograde irregular (Carme),1.0,232,723.8
